categoria,fecha,casos
nuevos totales,2021-08-16,754
nuevos totales,2021-08-17,405
nuevos totales,2021-08-18,503
nuevos totales,2021-08-19,899
nuevos totales,2021-08-20,763
nuevos totales,2021-08-21,698
nuevos totales,2021-08-22,679
nuevos totales,2021-08-23,591
nuevos totales,2021-08-24,387
nuevos totales,2021-08-25,392
nuevos totales,2021-08-26,801
nuevos totales,2021-08-27,672
nuevos totales,2021-08-28,607
nuevos totales,2021-08-29,603
nuevos totales,2021-08-30,512
nuevos totales,2021-08-31,315
nuevos totales,2021-09-01,375
nuevos totales,2021-09-02,594
nuevos totales,2021-09-03,504
nuevos totales,2021-09-04,477
nuevos totales,2021-09-05,430
nuevos totales,2021-09-06,435
nuevos totales,2021-09-07,273
nuevos totales,2021-09-08,358
nuevos totales,2021-09-09,515
nuevos totales,2021-09-10,518
nuevos totales,2021-09-11,489
nuevos totales,2021-09-12,449
nuevos totales,2021-09-13,426
nuevos totales,2021-09-14,297
nuevos totales,2021-09-15,408
nuevos totales,2021-09-16,604
nuevos totales,2021-09-17,594
nuevos totales,2021-09-18,610
nuevos totales,2021-09-19,491
nuevos totales,2021-09-20,280
nuevos totales,2021-09-21,291
nuevos totales,2021-09-22,526
nuevos totales,2021-09-23,886
nuevos totales,2021-09-24,852
nuevos totales,2021-09-25,783
nuevos totales,2021-09-26,775
nuevos totales,2021-09-27,640
nuevos totales,2021-09-28,454
nuevos totales,2021-09-29,525
nuevos totales,2021-09-30,895
nuevos totales,2021-10-01,846
nuevos totales,2021-10-02,853
nuevos totales,2021-10-03,752
nuevos totales,2021-10-04,673
nuevos totales,2021-10-05,503
nuevos totales,2021-10-06,714
nuevos totales,2021-10-07,981
nuevos totales,2021-10-08,1037
nuevos totales,2021-10-09,1033
nuevos totales,2021-10-10,1105
nuevos totales,2021-10-11,996
nuevos totales,2021-10-12,634
nuevos totales,2021-10-13,766
nuevos totales,2021-10-14,1223
nuevos totales,2021-10-15,1703
nuevos totales,2021-10-16,1774
nuevos totales,2021-10-17,1562
nuevos totales,2021-10-18,1357
nuevos totales,2021-10-19,966
nuevos totales,2021-10-20,1206
nuevos totales,2021-10-21,1842
nuevos totales,2021-10-22,2086
nuevos totales,2021-10-23,2056
nuevos totales,2021-10-24,1882
nuevos totales,2021-10-25,1677
nuevos totales,2021-10-26,1201
nuevos totales,2021-10-27,1753
nuevos totales,2021-10-28,2205
nuevos totales,2021-10-29,2379
nuevos totales,2021-10-30,2230
nuevos totales,2021-10-31,2250
nuevos totales,2021-11-01,1806
nuevos totales,2021-11-02,1390
nuevos totales,2021-11-03,1360
nuevos totales,2021-11-04,1953
nuevos totales,2021-11-05,2601
nuevos totales,2021-11-06,2895
nuevos totales,2021-11-07,2682
nuevos totales,2021-11-08,2367
nuevos totales,2021-11-09,1800
nuevos totales,2021-11-10,2229
nuevos totales,2021-11-11,2833
nuevos totales,2021-11-12,2950
nuevos totales,2021-11-13,2712
nuevos totales,2021-11-14,2835
nuevos totales,2021-11-15,2377
nuevos totales,2021-11-16,1741
nuevos totales,2021-11-17,2104
nuevos totales,2021-11-18,2640
nuevos totales,2021-11-19,2679
nuevos totales,2021-11-20,2696
nuevos totales,2021-11-21,2711
nuevos totales,2021-11-22,2252
nuevos totales,2021-11-23,1700
nuevos totales,2021-11-24,1937
nuevos totales,2021-11-25,2641
nuevos totales,2021-11-26,2692
nuevos totales,2021-11-27,2667
nuevos totales,2021-11-28,2361
nuevos totales,2021-11-29,1979
nuevos totales,2021-11-30,1392
nuevos totales,2021-12-01,1538
nuevos totales,2021-12-02,2244
nuevos totales,2021-12-03,2115
nuevos totales,2021-12-04,2060
nuevos totales,2021-12-05,1947
nuevos totales,2021-12-06,1517
nuevos totales,2021-12-07,1185
nuevos totales,2021-12-08,1401
nuevos totales,2021-12-09,1793
nuevos totales,2021-12-10,1516
nuevos totales,2021-12-11,1375
nuevos totales,2021-12-12,1605
nuevos totales,2021-12-13,1383
nuevos totales,2021-12-14,970
nuevos totales,2021-12-15,1080
nuevos totales,2021-12-16,1520
nuevos totales,2021-12-17,1465
nuevos totales,2021-12-18,1431
nuevos totales,2021-12-19,1275
nuevos totales,2021-12-20,1157
nuevos totales,2021-12-21,887
nuevos totales,2021-12-22,981
nuevos totales,2021-12-23,1504
nuevos totales,2021-12-24,1426
nuevos totales,2021-12-25,1511
nuevos totales,2021-12-26,1232
nuevos totales,2021-12-27,760
nuevos totales,2021-12-28,770
nuevos totales,2021-12-29,1295
nuevos totales,2021-12-30,1813
nuevos totales,2021-12-31,1831
nuevos totales,2022-01-01,1930
nuevos totales,2022-01-02,1921
nuevos totales,2022-01-03,1005
nuevos totales,2022-01-04,1058
nuevos totales,2022-01-05,1858
nuevos totales,2022-01-06,3134
nuevos totales,2022-01-07,3799
nuevos totales,2022-01-08,4380
nuevos totales,2022-01-09,4064
nuevos totales,2022-01-10,4069
nuevos totales,2022-01-11,3922
nuevos totales,2022-01-12,4847
nuevos totales,2022-01-13,7291
nuevos totales,2022-01-14,8270
nuevos totales,2022-01-15,9284
nuevos totales,2022-01-16,9454
nuevos totales,2022-01-17,8904
nuevos totales,2022-01-18,7533
nuevos totales,2022-01-19,9509
nuevos totales,2022-01-20,12500
nuevos totales,2022-01-21,14757
nuevos totales,2022-01-22,14449
nuevos totales,2022-01-23,13674
nuevos totales,2022-01-24,14780
nuevos totales,2022-01-25,14291
nuevos totales,2022-01-26,18446
nuevos totales,2022-01-27,24037
nuevos totales,2022-01-28,26727
nuevos totales,2022-01-29,29175
nuevos totales,2022-01-30,28480
nuevos totales,2022-01-31,26244
nuevos totales,2022-02-01,22192
nuevos totales,2022-02-02,29844
nuevos totales,2022-02-03,35197
nuevos totales,2022-02-04,37468
nuevos totales,2022-02-05,36297
nuevos totales,2022-02-06,34328
nuevos totales,2022-02-07,31063
nuevos totales,2022-02-08,24970
nuevos totales,2022-02-09,33362
nuevos totales,2022-02-10,36635
nuevos totales,2022-02-11,38446
nuevos totales,2022-02-12,35841
nuevos totales,2022-02-13,35038
nuevos totales,2022-02-14,28076
nuevos totales,2022-02-15,22845
nuevos totales,2022-02-16,30971
nuevos totales,2022-02-17,35789
nuevos totales,2022-02-18,34117
nuevos totales,2022-02-19,33769
nuevos totales,2022-02-20,30398
nuevos totales,2022-02-21,23254
nuevos totales,2022-02-22,18380
nuevos totales,2022-02-23,24700
nuevos totales,2022-02-24,30675
nuevos totales,2022-02-25,29135
nuevos totales,2022-02-26,27739
nuevos totales,2022-02-27,23821
nuevos totales,2022-02-28,18148
nuevos totales,2022-03-01,13928
nuevos totales,2022-03-02,20400
nuevos totales,2022-03-03,23395
nuevos totales,2022-03-04,23132
nuevos totales,2022-03-05,20503
nuevos totales,2022-03-06,19353
nuevos totales,2022-03-07,13820
nuevos totales,2022-03-08,10815
